ID,Country,Fulfill Via,Shipment Mode,Scheduled Delivery Date,Delivered to Client Date,Delivery Recorded Date,Product Group,Sub Classification,Vendor,Item Description,Brand,Dosage Form,Unit of Measure (Per Pack),Line Item Quantity,Line Item Value,Pack Price,Unit Price,Manufacturing Site,First Line Designation,Weight (Kilograms),Freight Cost (USD),Line Item Insurance (USD)
1,Côte D'Ivoire,Direct Drop,Air,2006-06-02,2006-06-02,2006-06-02,HRDT,Hiv Test,RANBAXY Fine Chemicals LTD.,"HIV, Reveal G3 Rapid HIV-1 Antibody Test, 30 Tests",Reveal,Test kit,30,19.0,551.0,29.0,0.97,Ranbaxy Fine Chemicals LTD,Yes,13.0,780.34,
3,Vietnam,Direct Drop,Air,2006-11-14,2006-11-14,2006-11-14,ARV,Pediatric,Aurobindo Pharma Limited,"Nevirapine 10mg/ml, oral suspension, Bottle, 240 ml",Generic,Oral suspension,240,1000.0,6200.0,6.2,0.03,"Aurobindo Unit III, India",Yes,358.0,4521.5,
4,Côte D'Ivoire,Direct Drop,Air,2006-08-27,2006-08-27,2006-08-27,HRDT,Hiv Test,Abbott GmbH & Co. KG,"HIV 1/2, Determine Complete HIV Kit, 100 Tests",Determine,Test kit,100,500.0,40000.0,80.0,0.8,ABBVIE GmbH & Co.KG Wiesbaden,Yes,171.0,1653.78,
15,Vietnam,Direct Drop,Air,2006-09-01,2006-09-01,2006-09-01,ARV,Adult,SUN PHARMACEUTICAL INDUSTRIES LTD (RANBAXY LABORATORIES LIMITED),"Lamivudine 150mg, tablets, 60 Tabs",Generic,Tablet,60,31920.0,127360.8,3.99,0.07,"Ranbaxy, Paonta Shahib, India",Yes,1855.0,16007.06,
16,Vietnam,Direct Drop,Air,2006-08-11,2006-08-11,2006-08-11,ARV,Adult,Aurobindo Pharma Limited,"Stavudine 30mg, capsules, 60 Caps",Generic,Capsule,60,38000.0,121600.0,3.2,0.05,"Aurobindo Unit III, India",Yes,7590.0,45450.08,
23,Nigeria,Direct Drop,Air,2006-09-28,2006-09-28,2006-09-28,ARV,Pediatric,Aurobindo Pharma Limited,"Zidovudine 10mg/ml, oral solution, Bottle, 240 ml",Generic,Oral solution,240,416.0,2225.6,5.35,0.02,"Aurobindo Unit III, India",Yes,504.0,5920.42,
44,Zambia,Direct Drop,Air,2007-01-08,2007-01-08,2007-01-08,ARV,Pediatric,MERCK SHARP & DOHME IDEA GMBH (FORMALLY MERCK SHARP & DOHME B.V.),"Efavirenz 200mg [Stocrin/Sustiva], capsule, 90 Caps",Stocrin/Sustiva,Capsule,90,135.0,4374.0,32.4,0.36,MSD South Granville Australia,Yes,328.0,,
45,Tanzania,Direct Drop,Air,2006-11-24,2006-11-24,2006-11-24,ARV,Adult,Aurobindo Pharma Limited,"Nevirapine 200mg, tablets, 60 Tabs",Generic,Tablet,60,16667.0,60834.55,3.65,0.06,"Aurobindo Unit III, India",Yes,1478.0,6212.41,
46,Nigeria,Direct Drop,Air,2006-12-07,2006-12-07,2006-12-07,ARV,Adult,Aurobindo Pharma Limited,"Stavudine 30mg, capsules, 60 Caps",Generic,Capsule,60,273.0,532.35,1.95,0.03,"Aurobindo Unit III, India",No,,,
47,Zambia,Direct Drop,Air,2007-01-30,2007-01-30,2007-01-30,ARV,Adult,ABBVIE LOGISTICS (FORMERLY ABBOTT LOGISTICS BV),"Lopinavir/Ritonavir 200/50mg [Aluvia], tablets, 120 Tabs",Aluvia,Tablet,120,2800.0,115080.0,41.1,0.34,ABBVIE (Abbott) St. P'burg USA,Yes,643.0,,
60,Zambia,Direct Drop,Air,2007-02-16,2007-02-16,2007-02-16,ARV,Adult,ABBVIE LOGISTICS (FORMERLY ABBOTT LOGISTICS BV),"Lopinavir/Ritonavir 200/50mg [Aluvia], tablets, 120 Tabs",Aluvia,Tablet,120,2800.0,115080.0,41.1,0.34,ABBVIE Ludwigshafen Germany,Yes,643.0,,
